Año;Departamento;Municipio;Operadora;Campo;Contrato;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Total;
2014;CASANARE;PAZ DE ARIPORO;TABASCO OIL COMPANY;ANDALUZ;JAGUEYES;25,83870968;31,75;284,2903226;155,9;159,3225806;153,5;131,8387097;114,0967742;113,6333333;126,0645161;275,6;345,19;1917,024946;
2015;CASANARE;PAZ DE ARIPORO;TABASCO OIL COMPANY;ANDALUZ;JAGUEYES 3432-B;219,6129032;0;0;0;0;0;0;0;0;0;0;0;219,6129032;
2017;CASANARE;PAZ DE ARIPORO;TABASCO OIL COMPANY LLC;ANDALUZ;JAGUEYES 3432-B;0;0;0;0;28,38709677;57,2;129,1612903;334,516129;297,57;185,516129;298,858;258,3606452;1589,56929;
2018;CASANARE;PAZ DE ARIPORO;TABASCO OIL COMPANY LLC;ANDALUZ;JAGUEYES 3432-B;247,1887097;228,4285714;192,4477419;174,7886667;123,9612903;91,03966667;154,8945161;231,6322581;212,2;180,6774194;153,3;140,6451613;2131,204002;
2020;CASANARE;PAZ DE ARIPORO;TABASCO OIL COMPANY LLC;ANDALUZ;JAGUEYES 3432-B;86,61;80,79;29,13;0;0;0;0;0;0;0;0;0;196,53;
2021;CASANARE;PAZ DE ARIPORO;TABASCO OIL COMPANY LLC;ANDALUZ;JAGUEYES 3432-B;0;0;0;0;0;0;0;0;0;0;15,03;48,35;63,38;
2022;CASANARE;PAZ DE ARIPORO;TABASCO OIL COMPANY LLC;ANDALUZ;JAGUEYES 3432-B;18,9;36,96;0;0;0;0;0;0;0;0;0;0;55,86;
2022;CASANARE;PAZ DE ARIPORO;TOC ENERGIA SUCURSAL COLOMBIA;ANDALUZ;JAGUEYES 3432-B;0;0;49,39;118,3;48,04;71,37;121,7;64,37;48,58;58,95;44,01;65,92;690,63;
2023;CASANARE;PAZ DE ARIPORO;TOC ENERGIA SUCURSAL COLOMBIA;ANDALUZ;JAGUEYES 3432-B;117,21;100,25;109,19;98,36;98,85;82,51;83,82;79,87;61,52;51,55;48,73;50,29;982,15;
2013;CASANARE;OROCUE;C&C ENERGIA ;ANDARRIOS;CACHICAMO;189,3870968;177,8571429;182,4516129;149,2666667;146;515,5333333;468,6451613;415,6451613;350,5333333;384,7096774;363,6;373,1935484;3716,822734;
2014;CASANARE;OROCUE;GRUPO C&C ENERGIA BARBADOS SUCURSAL COLOMBIA.;ANDARRIOS;CACHICAMO;387,7419355;385,4285714;393,9032258;361,6;297,2903226;261,5;222,2258065;234,2258065;213,1;228,4516129;518,57;1170,65;4674,687281;
2015;CASANARE;OROCUE;GRUPO C&C ENERGIA BARBADOS SUCURSAL COLOMBIA.;ANDARRIOS;CACHICAMO;1021,612903;671,4642857;584,0645161;603,4333333;533,9677419;351;343,8064516;314,3870968;279,6666667;199,2903226;71,8;247,6774194;5222,170737;
2016; CASANARE ; OROCUE ; GRUPO C&C ENERGIA BARBADOS SUCURSAL COLOMBIA. ; ANDARRIOS ; CACHICAMO ;291,9354839;296,9655172;294,483871;258,4;235,4516129;229,5333333;226,0322581;181,9677419;148,9666667;130,9677419;182,5;201,8064516;2679,010679;
2017;CASANARE;OROCUE;GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA;ANDARRIOS;CACHICAMO-026-22008;204,0322581;204,3214286;200,1290323;195,6666667;201,4703226;204,0166667;194,6145161;183,7151613;176,6173333;169,6390323;164,8356667;158,2045161;2257,262601;
2018;CASANARE;OROCUE;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;ANDARRIOS;CACHICAMO;152,5519355;168,1128571;164,5296774;157,2496667;155,3774194;141,4126667;141,9929032;130,5148387;123,2196667;119,9648387;129,181;148,223871;1732,331341;
2020;CASANARE;OROCUE;Frontera Energy Colombia Corp Sucursal Colombia;ANDARRIOS;CACHICAMO;53,2;50,64;51,18;49,97;46,89;47,67;47,81;41,66;40,92;15,01;0;0;444,95;
2018;ARAUCA;TAME;PAREX RESOURCES COLOMBIA LTD. SUCURSAL;ANDINA;CAPACHOS;0;0;0;0;0;0;0;0;399,023;817,6780645;885,2686667;310,8332258;2412,802957;
2020;ARAUCA;TAME;PAREX RESOURCES COLOMBIA LTD. SUCURSAL;ANDINA;CAPACHOS;2162,59;5304,44;6825,68;6705;3300,45;2993,63;3045,73;3082,47;3874,95;4621,51;4985,61;5727,03;52629,09;
2021;ARAUCA;TAME;PAREX RESOURCES COLOMBIA LTD. SUCURSAL;ANDINA;CAPACHOS;7341,33;8862,7;8458;8020,34;2853,21;3832,26;6679,9;7486,05;7290,13;6992,73;6545,35;6229,78;80591,78;
2022;ARAUCA;TAME;PAREX RESOURCES COLOMBIA LTD. SUCURSAL;ANDINA;CAPACHOS;4194,61;5165,35;4312,35;3913,01;4245,38;4662,37;5178,49;4531,76;5305,61;3492,75;2532,87;8937,95;56472,5;
2023;ARAUCA;TAME;PAREX RESOURCES COLOMBIA LTD. SUCURSAL;ANDINA;CAPACHOS;6035,87;0;0;3776,52;7311,83;3032,85;6622,32;7139,58;5730,03;5825,06;5616,15;5032,42;56122,63;
2020;SANTANDER;CIMITARRA;COMPAÑIA OPERADORA PETROCOLOMBIA S.A.S - COPP;ANGIE;OPON;93,04;80,55;76,33;79,5;76,04;71,4;67,79;66,02;60,26;0;0;0;670,93;
2020;SANTANDER;CIMITARRA;HADES E&P COLOMBIA S.A.S;ANGIE;OPON;0;0;0;0;0;0;0;0;0;59,15;59,76;59,05;177,96;
2021;SANTANDER;CIMITARRA;HADES E&P COLOMBIA S.A.S;ANGIE;OPON;54,26;51,61;50,71;44,18;25,14;40,95;45,35;48,69;0;0;0;0;360,89;
2021;SANTANDER;CIMITARRA;SAINT AUBIN INTERNATIONAL SAS;ANGIE;OPON;0;0;0;0;0;0;0;0;44,18;42,35;40,85;38,94;166,32;
2022;SANTANDER;CIMITARRA;SAINT AUBIN INTERNATIONAL SAS;ANGIE;OPON;40,13;39,17;39,28;37,9;38,27;36,34;35,45;33,95;33,55;33,41;31,75;32,22;431,42;
2023;SANTANDER;CIMITARRA;SAINT AUBIN INTERNATIONAL SAS;ANGIE;OPON;31,19;31,13;31,4;28,42;27,62;26,55;20,83;26,39;27,3;25,53;26,89;29,3;332,55;
2013;SUCRE;LOS PALMITOS;PACIFIC STRATUS ENERGY;APAMATE;LA CRECIENTE;0;0;0;0;0;0,033333333;0;0;0;0,161290323;0;0;0,194623656;
2013;SUCRE;SAN PEDRO;PACIFIC STRATUS ENERGY;APAMATE;LA CRECIENTE;0;0;0;0;0;0;1,03;0,61;1,3;0,16;0;0;3,1;
2014;SUCRE;SAN PEDRO;PACIFIC STRATUS ENERGY;APAMATE;LA CRECIENTE;0;0;0;0;0;0;0;0;0;0,129032258;0;0,23;0,359032258;
2015;SUCRE;SAN PEDRO;PACIFIC STRATUS ENERGY;APAMATE;LA CRECIENTE;0,35483871;0,25;1,096774194;0;0;0;0;0;0;0;0;0;1,701612903;
2016; SUCRE ; SAN PEDRO ; PACIFIC STRATUS ENERGY COLOMBIA CORP ; APAMATE ; LA CRECIENTE ;0,032258065;0,034482759;0;0;0;0;0;0;0;0,161290323;0;0;0,228031146;
2017;SUCRE;SAN PEDRO;PACIFIC STRATUS ENERGY COLOMBIA CORP;APAMATE;LA CRECIENTE;0,032258065;0,357142857;0;0;0;0;0;0;0;0;0;0;0,389400922;
2013;META;VILLAVICENCIO;ECOPETROL S.A.;APIAY;APIAY;6998,645161;7441,714286;7167,483871;6514,633333;6661,258065;6590,766667;6557,806452;6685,935484;6051,866667;5998,354839;6034;5890,193548;78592,65837;
2014;META;VILLAVICENCIO;ECOPETROL;APIAY;APIAY;6018,290323;5632,607143;5267,677419;5402,866667;5334,548387;5220,066667;5110,483871;4918,387097;5136,666667;4899,451613;4818,77;4988,19;62748,00585;
2015;META;VILLAVICENCIO;ECOPETROL;APIAY;APIAY;4970,322581;4925,071429;4871;4869,9;4258;4488,3;5005,032258;5510,870968;5181,1;4946,483871;4825,466667;4481,354839;58332,90261;
2016; META ; VILLAVICENCIO ; ECOPETROL ; APIAY ; APIAY ;4245,451613;4261,586207;4438,064516;4330,7;4209;4448,6;4456,580645;4342,741935;4209,166667;3984,16129;3848,9;4156,83871;50931,79158;
2017;META;VILLAVICENCIO;ECOPETROL S.A.;APIAY;APIAY;4011,967742;4375,535714;4208,870968;3986,9;3614,747742;3811,464;3882,232258;3657,871613;3453,68;3719,318387;3550,428;3653,698387;45926,71481;
2018;META;VILLAVICENCIO;ECOPETROL S.A.;APIAY;APIAY;3488,269677;3407,26;3197,975161;3326,923;3239,130323;3614,922667;3602,090323;3899,938065;4037,052;4041,484839;3594,300333;4164,788065;43614,13445;
